dataset,profile_type,metric_a,metric_b,correlation,pvalue,confidence_interval
All_Beauty,vanilla_structured,bleu4,bertscore_precision,-0.5448782349775712,0.1033699130181086,"(-0.8744926372805636, 0.12900616882177873)"
All_Beauty,vanilla_structured,bleu4,bertscore_recall,-0.3424232188269626,0.33277169817325647,"(-0.7996467482673865, 0.3661430297734755)"
All_Beauty,vanilla_structured,bleu4,bertscore_f1,-0.4353278151554795,0.2085929134045017,"(-0.8358521803326744, 0.26766336531875934)"
All_Beauty,vanilla_structured,bleu4,consistency,-0.604281708997542,0.06426217586221063,"(-0.8938307449358952, 0.04090949456975818)"
All_Beauty,vanilla_structured,bleu4,nepc,0.2675974301114065,0.4547777027642942,"(-0.43538537617662126, 0.7678512526311266)"
All_Beauty,vanilla_structured,bleu3,bertscore_precision,-0.5257519889669828,0.11856418127192347,"(-0.8680350184748022, 0.15527436063493352)"
All_Beauty,vanilla_structured,bleu3,bertscore_recall,-0.3369441443077869,0.34106860855617294,"(-0.7974024054872768, 0.3714942509184372)"
All_Beauty,vanilla_structured,bleu3,bertscore_f1,-0.4242238263733087,0.22175625851186362,"(-0.8317007856740853, 0.28026083858036344)"
All_Beauty,vanilla_structured,bleu3,consistency,-0.5865144581914528,0.0747171468666559,"(-0.888157558244242, 0.06835391152129391)"
All_Beauty,vanilla_structured,bleu3,nepc,0.2784843513870828,0.43590210433811166,"(-0.4258026403736509, 0.7726358531170359)"
All_Beauty,vanilla_structured,bertscore_precision,bertscore_precision,-0.31888603983931796,0.36914769805613584,"(-0.7899141395696884, 0.3888039417543568)"
All_Beauty,vanilla_structured,bertscore_precision,bertscore_recall,0.013348271575904224,0.9708058580042096,"(-0.6215013892891998, 0.6376157793395235)"
All_Beauty,vanilla_structured,bertscore_precision,bertscore_f1,-0.12169497593909176,0.7376997801721912,"(-0.6978503382453735, 0.5500797301752334)"
All_Beauty,vanilla_structured,bertscore_precision,consistency,0.39048209731654604,0.26457980056988534,"(-0.31710757272714657, 0.8188000260509483)"
All_Beauty,vanilla_structured,bertscore_precision,nepc,0.4186334541517605,0.22855822056941055,"(-0.2865125887560247, 0.8295933540076544)"
All_Beauty,vanilla_structured,rouge2_f,bertscore_precision,-0.4614464433563237,0.17945515229759476,"(-0.8454396949614069, 0.23705293686518839)"
All_Beauty,vanilla_structured,rouge2_f,bertscore_recall,-0.4204349712067133,0.22635349848666902,"(-0.8302737622520567, 0.28450447668966367)"
All_Beauty,vanilla_structured,rouge2_f,bertscore_f1,-0.4559972513466909,0.1853227374294844,"(-0.8434596536071522, 0.24355584789396556)"
All_Beauty,vanilla_structured,rouge2_f,consistency,-0.5629491264180949,0.09020237961351227,"(-0.8804884353869477, 0.10328700112949549)"
All_Beauty,vanilla_structured,rouge2_f,nepc,0.32253946813367473,0.36337693461109344,"(-0.38534178445226175, 0.791440550224874)"
All_Beauty,vanilla_structured,bertscore_f1,bertscore_precision,0.4581641262605774,0.18297613986710504,"(-0.24097747160553531, 0.8442482812867647)"
All_Beauty,vanilla_structured,bertscore_f1,bertscore_recall,0.5046108113327231,0.13689738461303438,"(-0.18323093127645557, 0.8607597590248562)"
All_Beauty,vanilla_structured,bertscore_f1,bertscore_f1,0.5044277014639333,0.1370633178590416,"(-0.18346830708978804, 0.8606961037907153)"
All_Beauty,vanilla_structured,bertscore_f1,consistency,0.826206423419045,0.003217675122095372,"(0.4097137413328049, 0.9576578639997669)"
All_Beauty,vanilla_structured,bertscore_f1,nepc,-0.04531242827912848,0.9010823292527105,"(-0.6562169275899286, 0.6014738591044215)"
All_Beauty,vanilla_structured,rougeL_f,bertscore_precision,-0.621291613748339,0.055198542766200044,"(-0.8991766192734699, 0.013689937461970876)"
All_Beauty,vanilla_structured,rougeL_f,bertscore_recall,-0.5809784442814344,0.07818676304751086,"(-0.8863708871097365, 0.07670735266807793)"
All_Beauty,vanilla_structured,rougeL_f,bertscore_f1,-0.6207376627682848,0.05547950477279965,"(-0.899003820449482, 0.014591457007142794)"
All_Beauty,vanilla_structured,rougeL_f,consistency,-0.7254913481941144,0.017558699236474774,"(-0.930208956493023, -0.17647828898095735)"
All_Beauty,vanilla_structured,rougeL_f,nepc,0.315421728735291,0.37466138656895076,"(-0.39206852436319095, 0.7884613307392484)"
All_Beauty,vanilla_structured,bertscore_recall,bertscore_precision,0.5770370791552331,0.08071939670205794,"(-0.08259884560223434, 0.8850932989865425)"
All_Beauty,vanilla_structured,bertscore_recall,bertscore_recall,0.555398737344862,0.09556541021716486,"(-0.11414245501147628, 0.8779955627494072)"
All_Beauty,vanilla_structured,bertscore_recall,bertscore_f1,0.585082066674547,0.07560509936563714,"(-0.07052412734008234, 0.8876961467714185)"
All_Beauty,vanilla_structured,bertscore_recall,consistency,0.7976323040411424,0.005701484367897421,"(0.3375039615658987, 0.9501057385916459)"
All_Beauty,vanilla_structured,bertscore_recall,nepc,-0.15507828482216082,0.6688075304397564,"(-0.7149007034408865, 0.5258973517584654)"
All_Beauty,vanilla_structured,bleu2,bertscore_precision,-0.48692612031146665,0.15349487133333223,"(-0.85456010803585, 0.2057922861411732)"
All_Beauty,vanilla_structured,bleu2,bertscore_recall,-0.3332673060560717,0.3466949557066062,"(-0.7958891195906361, 0.3750590916101391)"
All_Beauty,vanilla_structured,bleu2,bertscore_f1,-0.40637949641230386,0.24387620073374675,"(-0.8249325893901132, 0.3000093661240678)"
